,predicted_mean
2014-10-31,0.0004256037836822372
2014-11-30,0.00022311621272970932
2014-12-31,0.0006365978320920188
2015-01-31,0.0016597774871449972
2015-02-28,0.0043086096828315055
2015-03-31,0.0017202685064204655
2015-04-30,0.0015127080877121429
2015-05-31,0.0010347270434216379
2015-06-30,0.003918240801029003
2015-07-31,0.005489300385044783
2015-08-31,0.005533168401739188
2015-09-30,0.002384141704221712
2015-10-31,0.0005771337213552533
2015-11-30,0.000265778412655208
2015-12-31,0.0005083169092652877
2016-01-31,0.0014946393759777195
2016-02-29,0.0041411300484282465
2016-03-31,0.002084667939595151
2016-04-30,0.0014516160507560827
2016-05-31,0.001350347387185796
2016-06-30,0.0026971711968479233
2016-07-31,0.005895657959064262
2016-08-31,0.004659034792301903
2016-09-30,0.002107341422862362
2016-10-31,0.00037464261380706107
2016-11-30,0.00010910007917589975
2016-12-31,0.0004235733732136591
2017-01-31,0.0014254057612048425
2017-02-28,0.004072881773088396
2017-03-31,0.0017925989432678961
2017-04-30,0.0013385986724071916
2017-05-31,0.0010788051828052338
2017-06-30,0.003072285484608402
2017-07-31,0.005585932503012173
2017-08-31,0.004888154493673326
2017-09-30,0.0020850965109034864
2017-10-31,0.000321127561938131
2017-11-30,3.6306494370480264e-05
2017-12-31,0.0003205088129068645
2018-01-31,0.0013158144507875837
2018-02-28,0.003962875820705019
2018-03-31,0.0017767792790786502
2018-04-30,0.0012474320643865722
2018-05-31,0.0010543476126461428
2018-06-30,0.0027757075564113745
2018-07-31,0.005577542876563825
2018-08-31,0.004653012736925305
2018-09-30,0.0019557318234477497
2018-10-31,0.0002049217026572215
2018-11-30,-7.178674043533244e-05
2018-12-31,0.00022515394660380732
2019-01-31,0.0012232061146724524
2019-02-28,0.003870441970613996
2019-03-31,0.001644710774766819
2019-04-30,0.001147070405334381
2019-05-31,0.0009259140367604218
2019-06-30,0.0027617853016963746
2019-07-31,0.005442347728423529
2019-08-31,0.0046132374471378025
2019-09-30,0.0018714443477967494
2019-10-31,0.00011509684343733791
2019-11-30,-0.00016502548369352738
2019-12-31,0.0001265547539572329
2020-01-31,0.0011234511510915665
2020-02-29,0.003770613581342763
2020-03-31,0.001561561095797506
2020-04-30,0.0010505781276450895
2020-05-31,0.0008412347388407442
2020-06-30,0.002628918346040204
2020-07-31,0.00536051377650312
2020-08-31,0.004491249740736525
2020-09-30,0.0017681878721206466
2020-10-31,1.4170561330263916e-05
2020-11-30,-0.00026451516482605693
2020-12-31,2.932081049151381e-05
2021-01-31,0.0010267035690932986
2021-02-28,0.003673896897704582
2021-03-31,0.0014578258224225355
2021-04-30,0.0009524575705607045
2021-05-31,0.0007381431464022423
2021-06-30,0.0025461046644177647
2021-07-31,0.0052562248303204395
2021-08-31,0.004403857948110169
2021-09-30,0.0016729137659733213
2021-10-31,-8.208411659822852e-05
2021-11-30,-0.0003613743806758441
2021-12-31,-6.848764525455858e-05
2022-01-31,0.0009286904469466454
2022-02-28,0.0035758707731789042
2022-03-31,0.0013627531997565125
2022-04-30,0.0008550222118426287
2022-05-31,0.0006427996555256269
2022-06-30,0.002442227999563017
2022-07-31,0.005161385199427485
2022-08-31,0.004301907804090925
2022-09-30,0.0015742805885407597
2022-10-31,-0.00018030465834644157
2022-11-30,-0.0004593405260365014
2022-12-31,-0.00016605433974202385
2023-01-31,0.0008312098783929353
2023-02-28,0.003478395676173193
2023-03-31,0.0012640352357985898
2023-04-30,0.0007572985139104054
2023-05-31,0.0005441956759710827
2023-06-30,0.002347214876029173
2023-07-31,0.005062569189899034
2023-08-31,0.004206083978823014
2023-09-30,0.0014770609462569553
2023-10-31,-0.000277697942388318
2023-11-30,-0.0005568408629525183
2023-12-31,-0.0002637227700986118
2024-01-31,0.0007335052052703432
2024-02-29,0.003380688700561383
2024-03-31,0.0011668512726426045
2024-04-30,0.0006596961523772501
2024-05-31,0.0004469637468903213
2024-06-30,0.0022484718741641882
2024-07-31,0.004965426485426879
2024-08-31,0.0041076821294073074
2024-09-30,0.0013792464724119524
